variant,id,score,exact_match,f1,answer,best_gold
"unstructured-zpix12-t035-l1-f2000","quota-refresh-object","semantic","false","0","token","额度"
"unstructured-zpix12-t035-l1-f2000","cache-optimal-rotation","exact","true","1","A-B-C-D-A","A-B-C-D-A"
"unstructured-zpix12-t035-l1-f2000","fallback-final-decision","semantic","true","1","不改","不改"
"unstructured-zpix12-t035-l1-f2000","plan-storage-uri","exact","false","0.5952380952380952","local://cjk-raster-playground/ocr-maintain-plan.md","local://cjk-visual-context-plan.md"
"unstructured-zpix12-t035-l1-f2000","prototype-path","exact","false","0.9310344827586206","/Projects/CasedBind-ecosystem/tools/cjk-raster-playground","~/Projects/CagedBird-Ecosystem/tools/cjk-raster-playground/"
"unstructured-zpix12-t035-l1-f2000","no-vllm-reason","semantic","false","0.3076923076923077","因为omp内部自带vllm","OMP 支持中转自身可用模型"
"unstructured-zpix12-t035-l1-f2000","gateway-model","exact","false","0.8125","Gemini 1.5 Flash","gemini 3.5 flash"
"unstructured-zpix12-t035-l1-f2000","exact-value-correction","semantic","false","0.14814814814814817","精确匹配","图片不能完整还原精确值信息，这项技术就没有意义"
"unstructured-zpix12-t035-l1-f2000","font-size-correction","semantic","false","0","靠估看不清","已经通过去除格式压缩了很多"
"unstructured-zpix12-t035-l1-f2000","public-research-style","semantic","false","0.7142857142857143","直接做实验","写论文，直接做实验"
"unstructured-zpix12-t035-l1-f2000","absent-production-integration","exact","true","1","不可确定","不可确定"
"unstructured-zpix12-t035-l1-f2000","absent-recall-proof","exact","true","1","不可确定","不可确定"
"structured-zpix12-t035-l1-f2000","quota-refresh-object","semantic","false","0","缓存","额度"
"structured-zpix12-t035-l1-f2000","cache-optimal-rotation","exact","false","0.8888888888888888","A-B-C-D-E","A-B-C-D-A"
"structured-zpix12-t035-l1-f2000","fallback-final-decision","semantic","false","0.6666666666666666","改","不改"
"structured-zpix12-t035-l1-f2000","plan-storage-uri","exact","false","0.49180327868852464","local://engineering-balance","local://cjk-visual-context-plan.md"
"structured-zpix12-t035-l1-f2000","prototype-path","exact","false","0.918918918918919","/Projects/CagedBird-ecosystems/cjk-raster-playground","~/Projects/CagedBird-Ecosystem/tools/cjk-raster-playground/"
"structured-zpix12-t035-l1-f2000","no-vllm-reason","semantic","false","0.11111111111111109","因为已经实现了本地的 evaluation，可以自己跑评估，不需要依赖 vLLM","OMP自己能当凭证中转和模型代理"
"structured-zpix12-t035-l1-f2000","gateway-model","exact","false","0.21428571428571427","openai-codex","gemini 3.5 flash"
"structured-zpix12-t035-l1-f2000","exact-value-correction","semantic","false","0","直接报错","必须能从图片里恢复，anchor 不能当逃避"
"structured-zpix12-t035-l1-f2000","font-size-correction","semantic","false","0","因为它可以能够更便宜","已经通过去除格式压缩了很多"
"structured-zpix12-t035-l1-f2000","public-research-style","semantic","false","0.7368421052631577","直接跑实验，发数据","直接做实验，公开数据"
"structured-zpix12-t035-l1-f2000","absent-production-integration","exact","true","1","不可确定","不可确定"
"structured-zpix12-t035-l1-f2000","absent-recall-proof","exact","true","1","不可确定","不可确定"
