variant,id,score,exact_match,f1,answer,best_gold
"zpix12-t030-l0-f2000","quota-refresh-object","semantic","false","0","Token","额度"
"zpix12-t030-l0-f2000","cache-optimal-rotation","exact","true","1","A-B-C-D-A","A-B-C-D-A"
"zpix12-t030-l0-f2000","fallback-final-decision","semantic","false","0.5714285714285715","改还是不改","不改"
"zpix12-t030-l0-f2000","plan-storage-uri","exact","true","1","local://cjk-visual-context-plan.md","local://cjk-visual-context-plan.md"
"zpix12-t030-l0-f2000","prototype-path","exact","false","0.8503937007874015","/Projects/Caged-Ecosystem/tools/cjk-raster-playground/v2/context.png","~/Projects/CagedBird-Ecosystem/tools/cjk-raster-playground/"
"zpix12-t030-l0-f2000","no-vllm-reason","semantic","false","0.13333333333333333","已经内置并且能够运行和支持输入图像","OMP 支持中转自身可用模型"
"zpix12-t030-l0-f2000","gateway-model","exact","false","0.875","Gemini 3.5 Flash","gemini 3.5 flash"
"zpix12-t030-l0-f2000","exact-value-correction","semantic","false","0.18181818181818182","用 exact match 判","必须能从图片里恢复，anchor 不能当逃避"
"zpix12-t030-l0-f2000","font-size-correction","semantic","false","0","不可确定","已经通过去除格式压缩了很多"
"zpix12-t030-l0-f2000","public-research-style","semantic","false","0.2857142857142857","直接造轮子","写论文，直接做实验"
"zpix12-t030-l0-f2000","absent-production-integration","exact","true","1","不可确定","不可确定"
"zpix12-t030-l0-f2000","absent-recall-proof","exact","true","1","不可确定","不可确定"
"zpix12-t035-l0-f2000","quota-refresh-object","semantic","false","0","token_lookup_table","额度"
"zpix12-t035-l0-f2000","cache-optimal-rotation","exact","true","1","A-B-C-D-A","A-B-C-D-A"
"zpix12-t035-l0-f2000","fallback-final-decision","semantic","false","0.6666666666666666","改","不改"
"zpix12-t035-l0-f2000","plan-storage-uri","exact","true","1","local://cjk-visual-context-plan.md","local://cjk-visual-context-plan.md"
"zpix12-t035-l0-f2000","prototype-path","exact","false","0.8503937007874015","/Projects/Caged-Ecosystem/tools/cjk-raster-playground/v1/context.png","~/Projects/CagedBird-Ecosystem/tools/cjk-raster-playground/"
"zpix12-t035-l0-f2000","no-vllm-reason","semantic","false","0.16216216216216217","因为已经将 vLLM 功能合并至 omp-gateway","OMP 支持中转自身可用模型"
"zpix12-t035-l0-f2000","gateway-model","exact","false","0.875","Gemini 3.5 Flash","gemini 3.5 flash"
"zpix12-t035-l0-f2000","exact-value-correction","semantic","false","0","重新计算","必须能从图片里恢复，anchor 不能当逃避"
"zpix12-t035-l0-f2000","font-size-correction","semantic","false","0","不可确定","已经通过去除格式压缩了很多"
"zpix12-t035-l0-f2000","public-research-style","semantic","false","0.26666666666666666","直接展示成果","写论文，直接做实验"
"zpix12-t035-l0-f2000","absent-production-integration","exact","true","1","不可确定","不可确定"
"zpix12-t035-l0-f2000","absent-recall-proof","exact","true","1","不可确定","不可确定"
"zpix12-t030-l1-f2000","quota-refresh-object","semantic","false","0","token","额度"
"zpix12-t030-l1-f2000","cache-optimal-rotation","exact","true","1","A-B-C-D-A","A-B-C-D-A"
"zpix12-t030-l1-f2000","fallback-final-decision","semantic","true","1","不改","不改"
"zpix12-t030-l1-f2000","plan-storage-uri","exact","false","0.5979381443298968","local:///home/project/cagedbird043/cjk-visual-context-benchmark","local://cjk-visual-context-plan.md"
"zpix12-t030-l1-f2000","prototype-path","exact","false","0.7572815533980584","/Projects/cagedbird043/cjk-raster-playground","~/Projects/CagedBird-Ecosystem/tools/cjk-raster-playground/"
"zpix12-t030-l1-f2000","no-vllm-reason","semantic","false","0.2631578947368421","因为 OMP 也是通过代理端口，而不需要 vLLM","OMP自己能当凭证中转和模型代理"
"zpix12-t030-l1-f2000","gateway-model","exact","false","0.875","Gemini 3.5 Flash","gemini 3.5 flash"
"zpix12-t030-l1-f2000","exact-value-correction","semantic","false","0.16216216216216214","不用强求，如果没用就不用管它","图片不能完整还原精确值信息，这项技术就没有意义"
"zpix12-t030-l1-f2000","font-size-correction","semantic","false","0","因为“塞信看不清”","已经通过去除格式压缩了很多"
"zpix12-t030-l1-f2000","public-research-style","semantic","false","0.7142857142857143","直接做实验","写论文，直接做实验"
"zpix12-t030-l1-f2000","absent-production-integration","exact","true","1","不可确定","不可确定"
"zpix12-t030-l1-f2000","absent-recall-proof","exact","true","1","不可确定","不可确定"
"zpix12-t035-l1-f2000","quota-refresh-object","semantic","false","0","token","额度"
"zpix12-t035-l1-f2000","cache-optimal-rotation","exact","true","1","A-B-C-D-A","A-B-C-D-A"
"zpix12-t035-l1-f2000","fallback-final-decision","semantic","true","1","不改","不改"
"zpix12-t035-l1-f2000","plan-storage-uri","exact","false","0.5952380952380952","local://cjk-raster-playground/ocr-maintain-plan.md","local://cjk-visual-context-plan.md"
"zpix12-t035-l1-f2000","prototype-path","exact","false","0.9310344827586206","/Projects/CasedBind-ecosystem/tools/cjk-raster-playground","~/Projects/CagedBird-Ecosystem/tools/cjk-raster-playground/"
"zpix12-t035-l1-f2000","no-vllm-reason","semantic","false","0.3076923076923077","因为omp内部自带vllm","OMP 支持中转自身可用模型"
"zpix12-t035-l1-f2000","gateway-model","exact","false","0.8125","Gemini 1.5 Flash","gemini 3.5 flash"
"zpix12-t035-l1-f2000","exact-value-correction","semantic","false","0.14814814814814817","精确匹配","图片不能完整还原精确值信息，这项技术就没有意义"
"zpix12-t035-l1-f2000","font-size-correction","semantic","false","0","靠估看不清","已经通过去除格式压缩了很多"
"zpix12-t035-l1-f2000","public-research-style","semantic","false","0.7142857142857143","直接做实验","写论文，直接做实验"
"zpix12-t035-l1-f2000","absent-production-integration","exact","true","1","不可确定","不可确定"
"zpix12-t035-l1-f2000","absent-recall-proof","exact","true","1","不可确定","不可确定"
"zpix12-t030-l2-f2000","quota-refresh-object","semantic","false","0","不可确定","额度"
"zpix12-t030-l2-f2000","cache-optimal-rotation","exact","true","1","A-B-C-D-A","A-B-C-D-A"
"zpix12-t030-l2-f2000","fallback-final-decision","semantic","false","0.6666666666666666","改","不改"
"zpix12-t030-l2-f2000","plan-storage-uri","exact","true","1","local://cjk-visual-context-plan.md","local://cjk-visual-context-plan.md"
"zpix12-t030-l2-f2000","prototype-path","exact","false","0.525","cjk-raster-playground","~/Projects/CagedBird-Ecosystem/tools/cjk-raster-playground/"
