group,format,variant,width,height,pixels,exact_em,exact_f1,failures
"formatting-main","plain","zpix-12-t030-l0-w750","765","62","47430","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-main","plain","zpix-12-t030-l0-w1024","1039","50","51950","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-main","plain","zpix-14-t030-l0-w750","765","68","52020","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-main","plain","zpix-14-t030-l0-w1024","1039","68","70652","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-main","label","zpix-12-t030-l0-w750","765","62","47430","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-main","label","zpix-12-t030-l0-w1024","1039","62","64418","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-main","label","zpix-14-t030-l0-w750","765","82","62730","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-main","label","zpix-14-t030-l0-w1024","1039","68","70652","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-main","bracket","zpix-12-t030-l0-w750","765","74","56610","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-main","bracket","zpix-12-t030-l0-w1024","1039","62","64418","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-main","bracket","zpix-14-t030-l0-w750","765","96","73440","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-main","bracket","zpix-14-t030-l0-w1024","1039","68","70652","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-main","quote","zpix-12-t030-l0-w750","765","62","47430","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-main","quote","zpix-12-t030-l0-w1024","1039","62","64418","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-main","quote","zpix-14-t030-l0-w750","765","82","62730","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-main","quote","zpix-14-t030-l0-w1024","1039","68","70652","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-main","segmented","zpix-12-t030-l0-w750","765","62","47430","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-main","segmented","zpix-12-t030-l0-w1024","1039","62","64418","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-main","segmented","zpix-14-t030-l0-w750","765","82","62730","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-main","segmented","zpix-14-t030-l0-w1024","1039","68","70652","1","1",""
"formatting-main","spaced","zpix-12-t030-l0-w750","765","86","65790","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
