variant,id,score,exact_match,f1,answer,best_gold
"zpix12-t035-l1-f2000-c1800","quota-refresh-object","semantic","false","0","不可确定","额度"
"zpix12-t035-l1-f2000-c1800","cache-optimal-rotation","exact","true","1","A-B-C-D-A","A-B-C-D-A"
"zpix12-t035-l1-f2000-c1800","fallback-final-decision","semantic","false","0.6666666666666666","改","不改"
"zpix12-t035-l1-f2000-c1800","plan-storage-uri","exact","true","1","local://cjk-visual-context-plan.md","local://cjk-visual-context-plan.md"
"zpix12-t035-l1-f2000-c1800","prototype-path","exact","false","0.9827586206896551","/Projects/CagedBird-Ecosystem/tools/cjk-raster-playground","~/Projects/CagedBird-Ecosystem/tools/cjk-raster-playground/"
"zpix12-t035-l1-f2000-c1800","no-vllm-reason","semantic","false","0.05555555555555555","因为已有vLLM 并且已在这个目录建好且在运行了","OMP 支持中转自身可用模型"
"zpix12-t035-l1-f2000-c1800","gateway-model","exact","false","0.9375","Gemini 3.5 flash","gemini 3.5 flash"
"zpix12-t035-l1-f2000-c1800","exact-value-correction","semantic","false","0.14814814814814817","不可确定","图片不能完整还原精确值信息，这项技术就没有意义"
"zpix12-t035-l1-f2000-c1800","font-size-correction","semantic","false","0","因为目前是12px 接近 9px tight layout，仍然可用","已经通过去除格式压缩了很多"
"zpix12-t035-l1-f2000-c1800","public-research-style","semantic","false","0.7142857142857143","直接做实验","写论文，直接做实验"
"zpix12-t035-l1-f2000-c1800","absent-production-integration","exact","true","1","不可确定","不可确定"
"zpix12-t035-l1-f2000-c1800","absent-recall-proof","exact","true","1","不可确定","不可确定"
"zpix12-t035-l1-f2000-c1600","quota-refresh-object","semantic","false","0","token","额度"
"zpix12-t035-l1-f2000-c1600","cache-optimal-rotation","exact","false","0.8181818181818181","A->B->C->D->A","A-B-C-D-A"
"zpix12-t035-l1-f2000-c1600","fallback-final-decision","semantic","false","0.6666666666666666","改","不改"
"zpix12-t035-l1-f2000-c1600","plan-storage-uri","exact","false","0.48484848484848486","local://zpix-engineering-balance","local://cjk-visual-context-plan.md"
"zpix12-t035-l1-f2000-c1600","prototype-path","exact","false","0.9827586206896551","/Projects/CagedBird-Ecosystem/tools/cjk-raster-playground","~/Projects/CagedBird-Ecosystem/tools/cjk-raster-playground/"
"zpix12-t035-l1-f2000-c1600","no-vllm-reason","semantic","false","0.2222222222222222","因为我们可以像 OMP 侧一样通过 proxy 来转发","OMP 支持中转自身可用模型"
"zpix12-t035-l1-f2000-c1600","gateway-model","exact","false","0.21428571428571427","openai-codex","gemini 3.5 flash"
"zpix12-t035-l1-f2000-c1600","exact-value-correction","semantic","false","0.11320754716981132","只对比不限中英文，如果有类似但不是完全相等的话，按不相等来算","图片不能完整还原精确值信息，这项技术就没有意义"
"zpix12-t035-l1-f2000-c1600","font-size-correction","semantic","false","0","比12px更清晰，更容易被识别","已经通过去除格式压缩了很多"
"zpix12-t035-l1-f2000-c1600","public-research-style","semantic","false","0.07207207207207207","在图2中，有一段对话：\n“U: 你好像把事情想得太复杂了，当你的研究方向是搞清当前属性到底是不是 ‘中文 vs exact’，或者其他什么，应该去‘做’，而不是‘写’。直接用你前面建议的方法：找一个和旧的 benchmark 差不多的，然后把新 benchmark 测出来。告诉我们你的研究分析 A: 研究计划：CJK bit map compaction benchmark。”\n\n根据该对话，用户说公开研究不是写什么，而是直接做：\n**benchmark**","不写论文，直接做实验，公开数据"
"zpix12-t035-l1-f2000-c1600","absent-production-integration","exact","true","1","不可确定","不可确定"
"zpix12-t035-l1-f2000-c1600","absent-recall-proof","exact","true","1","不可确定","不可确定"
"zpix12-t035-l1-f2000-c1400","quota-refresh-object","semantic","false","0","Token","额度"
"zpix12-t035-l1-f2000-c1400","cache-optimal-rotation","exact","false","0.8181818181818181","A->B->C->D->A","A-B-C-D-A"
"zpix12-t035-l1-f2000-c1400","fallback-final-decision","semantic","true","1","不改","不改"
"zpix12-t035-l1-f2000-c1400","plan-storage-uri","exact","true","1","local://cjk-visual-context-plan.md","local://cjk-visual-context-plan.md"
"zpix12-t035-l1-f2000-c1400","prototype-path","exact","false","0.9827586206896551","/Projects/CagedBird-Ecosystem/tools/cjk-raster-playground","~/Projects/CagedBird-Ecosystem/tools/cjk-raster-playground/"
"zpix12-t035-l1-f2000-c1400","no-vllm-reason","semantic","false","0.27272727272727276","OMP已经集成了它","OMP 支持中转自身可用模型"
"zpix12-t035-l1-f2000-c1400","gateway-model","exact","false","0.875","Gemini 3.5 Flash","gemini 3.5 flash"
"zpix12-t035-l1-f2000-c1400","exact-value-correction","semantic","false","0.19607843137254902","用 exact 模式不再去标点、不 lowercase、不宽松匹配","必须能从图片里恢复，anchor 不能当逃避"
"zpix12-t035-l1-f2000-c1400","font-size-correction","semantic","false","0","由于之前有一批卷子平均值在12像素","已经通过去除格式压缩了很多"
"zpix12-t035-l1-f2000-c1400","public-research-style","semantic","false","0.4000000000000001","直接把数据向大家公开","直接做实验，公开数据"
"zpix12-t035-l1-f2000-c1400","absent-production-integration","exact","true","1","不可确定","不可确定"
"zpix12-t035-l1-f2000-c1400","absent-recall-proof","exact","true","1","不可确定","不可确定"
