variant,id,score,exact_match,f1,answer,best_gold
"text-baseline","quota-refresh-object","semantic","true","1","额度","额度"
"text-baseline","cache-optimal-rotation","exact","true","1","A-B-C-D-A","A-B-C-D-A"
"text-baseline","fallback-final-decision","semantic","true","1","不改","不改"
"text-baseline","plan-storage-uri","exact","true","1","local://cjk-visual-context-plan.md","local://cjk-visual-context-plan.md"
"text-baseline","prototype-path","exact","true","1","~/Projects/CagedBird-Ecosystem/tools/cjk-raster-playground/","~/Projects/CagedBird-Ecosystem/tools/cjk-raster-playground/"
"text-baseline","no-vllm-reason","semantic","false","0.32","OMP 自己能当凭证中转和模型代理，也可以直接将内置的 Gemini 3.5 Flash 角色作为 OMP auth-gateway 转发代理中转出去，从而提供给外部实验程序进行读图评测。","OMP自己能当凭证中转和模型代理"
"text-baseline","gateway-model","exact","true","1","gemini 3.5 flash","gemini 3.5 flash"
"text-baseline","exact-value-correction","semantic","false","0.09836065573770493","不应该逃避，即使对于错一个字符就会导致严重问题的精确值（如哈希值、路径、行号等），也应该放入图片中进行视觉压缩和读取，而不是完全将其排除并放进文本 anchor 中；解决该问题的手段是应该在图片中将字形进行放大或使用特定格式（如等宽字体、特定高对比标记）来解决特定字符（如 l 和 1）的视觉混淆，并寻找面积与可靠性之间的最佳平衡点。","必须能从图片里恢复，anchor 不能当逃避"
"text-baseline","font-size-correction","semantic","false","0.5777777777777777","因为已经通过去除格式压缩了很多空间，没说字号最大只能是12px。","已经通过去除格式压缩了很多"
"text-baseline","public-research-style","semantic","false","0.7142857142857143","直接做实验","写论文，直接做实验"
"text-baseline","absent-production-integration","exact","true","1","不可确定","不可确定"
"text-baseline","absent-recall-proof","exact","true","1","不可确定","不可确定"
"eventized-zpix12","quota-refresh-object","semantic","false","0","token_quota","额度"
"eventized-zpix12","cache-optimal-rotation","exact","false","0.8181818181818181","A->B->C->D->A","A-B-C-D-A"
"eventized-zpix12","fallback-final-decision","semantic","false","0.6666666666666666","改","不改"
"eventized-zpix12","plan-storage-uri","exact","true","1","local://cjk-visual-context-plan.md","local://cjk-visual-context-plan.md"
"eventized-zpix12","prototype-path","exact","false","0.9827586206896551","/Projects/CagedBird-Ecosystem/tools/cjk-raster-playground","~/Projects/CagedBird-Ecosystem/tools/cjk-raster-playground/"
"eventized-zpix12","no-vllm-reason","semantic","false","0.13333333333333333","OpenAI-compatible gateway API runner","OMP 支持中转自身可用模型"
"eventized-zpix12","gateway-model","exact","false","0.875","Gemini 3.5 Flash","gemini 3.5 flash"
"eventized-zpix12","exact-value-correction","semantic","false","0.049295774647887314","开发为易最简易处理 不做英文/数字全写过滤。而是分类：Low risk：选目前 Medium risk：可过滤，但观测不能精简成 答案/manifest 最易好文本偏差。报错 不过滤，覆盖 14 选项 真实 OMP 上且 抽样范围 语言。官：所以 视觉强于 渲染 模板 真实 Corpus 应急且落后合作，但测试两种模式：image-only 看画图能读多大 密。Hymn：能打。U：对，做 1 选项。A：那在 2 可打，但 1 不行，对吧？U：对，可以。A：好。U：那如果是这样，就不用搞 14 了，其实就 这几 个。A：对，那如果 实在 选项里，就做 1 个。U：是的。如果做不到，而 不是 “不可确定”","必须能从图片里恢复，anchor 不能当逃避"
"eventized-zpix12","font-size-correction","semantic","false","0.5142857142857142","因为我们已经过滤去除了稀疏格式占领了极多空间","已经通过去除格式压缩了很多"
"eventized-zpix12","public-research-style","semantic","false","0.16666666666666666","写代码","写论文，直接做实验"
"eventized-zpix12","absent-production-integration","exact","true","1","不可确定","不可确定"
"eventized-zpix12","absent-recall-proof","exact","true","1","不可确定","不可确定"
